                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8243,                 1.6533,                 1.0064,                0.98669,                 0.9564,                0.99178,                0.83469,                0.62023,                 1.9309,                0.93402,             0.00066013,             0.00066013,             0.00066013
                      2,                0.80024,                0.93498,                 1.0175,                 0.9675,                0.96019,                0.98721,                0.83665,                0.65934,                0.92188,                 1.0173,              0.0013137,              0.0013137,              0.0013137
                      3,                0.79607,                0.69851,                 1.0358,                0.98071,                0.98413,                0.99267,                 0.8019,                0.71645,                0.63153,                 1.0158,               0.001954,               0.001954,               0.001954
                      4,                0.77948,                0.59171,                 1.0233,                0.98677,                0.96245,                0.99266,                0.83709,                0.64083,                0.85268,                0.98576,              0.0019406,              0.0019406,              0.0019406
                      5,                0.73641,                0.51667,                 1.0037,                 0.9789,                0.95484,                0.98831,                0.82919,                0.67239,                0.47406,                0.98682,              0.0019406,              0.0019406,              0.0019406
                      6,                0.71674,                0.48329,                0.99337,                 0.9804,                0.97419,                0.99378,                0.86022,                0.61231,                0.49279,                0.96596,              0.0019208,              0.0019208,              0.0019208
                      7,                0.70183,                0.46011,                0.98598,                0.97477,                0.99712,                0.99442,                0.85714,                0.57583,                0.38737,                0.94081,               0.001901,               0.001901,               0.001901
                      8,                0.70069,                0.44503,                 0.9828,                  0.993,                      1,                  0.995,                0.86116,                0.60423,                0.34741,                0.95621,              0.0018812,              0.0018812,              0.0018812
                      9,                0.67237,                0.42622,                0.96697,                0.98257,                 0.9871,                0.99475,                0.84737,                0.61377,                0.40448,                0.97016,              0.0018614,              0.0018614,              0.0018614
                     10,                0.67488,                0.42869,                0.97548,                0.98704,                      1,                  0.995,                  0.861,                0.57366,                0.34653,                0.93548,              0.0018416,              0.0018416,              0.0018416
                     11,                0.66419,                 0.4139,                0.97756,                0.98721,                0.99583,                0.99487,                0.87055,                0.57392,                0.31748,                0.94089,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.6448,                0.39949,                0.96439,                0.99143,                      1,                0.99494,                0.87911,                0.53904,                0.31435,                0.91586,               0.001802,               0.001802,               0.001802
                     13,                0.66354,                0.39623,                0.96895,                0.99113,                0.99355,                0.99448,                0.85706,                0.59528,                0.36453,                0.94626,              0.0017822,              0.0017822,              0.0017822
                     14,                0.65149,                0.38662,                0.96774,                0.98715,                0.99097,                0.99428,                  0.882,                0.55967,                0.30798,                0.92988,              0.0017624,              0.0017624,              0.0017624
                     15,                  0.631,                0.36997,                0.95377,                0.98726,                0.99974,                0.99474,                0.88027,                0.53984,                0.34927,                0.91853,              0.0017426,              0.0017426,              0.0017426
                     16,                0.64969,                0.37892,                0.96298,                0.98434,                      1,                0.99474,                0.87423,                0.57427,                0.31394,                0.93881,              0.0017228,              0.0017228,              0.0017228
                     17,                0.62913,                0.37147,                0.94922,                0.98654,                      1,                0.99474,                0.87321,                0.56598,                0.30683,                0.93227,               0.001703,               0.001703,               0.001703
                     18,                0.62552,                0.36644,                0.94619,                0.98723,                0.99767,                0.99436,                  0.883,                0.53931,                0.30931,                0.91427,              0.0016832,              0.0016832,              0.0016832
                     19,                0.62018,                0.35918,                 0.9511,                0.99358,                0.99826,                0.99468,                0.87744,                0.54236,                0.30214,                0.91981,              0.0016634,              0.0016634,              0.0016634
                     20,                0.62808,                0.36233,                0.95644,                      1,                0.99926,                  0.995,                0.89758,                0.52107,                0.27077,                0.91104,              0.0016436,              0.0016436,              0.0016436
                     21,                0.60066,                0.34876,                0.93563,                0.98705,                0.98065,                0.99443,                0.88853,                0.52351,                0.29679,                0.90999,              0.0016238,              0.0016238,              0.0016238
                     22,                0.59208,                0.33925,                0.93435,                      1,                0.99994,                  0.995,                0.89418,                0.51184,                0.26837,                0.90228,               0.001604,               0.001604,               0.001604
                     23,                0.60035,                0.34343,                 0.9406,                0.99956,                0.99355,                  0.995,                0.89927,                0.52277,                 0.2644,                0.90482,              0.0015842,              0.0015842,              0.0015842
